Variable_Code,Question_Text,Selected,Reason_for_Selection
Q106,Incomes should be made more equal vs There should be greater incentives for individual effort,Yes,"Selected because it addresses a core economic value (income equality vs incentives for effort), which varies across ideologies and countries, and it's clearly framed on a 10-point scale."
Q107,Private vs state ownership of business,Yes,"Selected because it gauges a core attitude on economic organization (private vs state business ownership) that differs by ideology and national context, with a clear 10-point scale."
Q108,Government's vs individual's responsibility,Yes,"Selected as it measures a core belief about government's role vs individual responsibility, a value differing by political culture, with a clear ordinal spectrum."
Q109,Competition good or harmful,Yes,"Selected; it asks if competition is good or harmful, a fundamental economic attitude likely varying by culture and ideology, clearly presented on an ordinal scale."
Q10P,Important child qualities: feeling of responsibility (+),No,"Not selected; while it reflects a value (teaching responsibility to children), this trait is almost universally valued (little cross-group variation) and overlaps with other child value items (making it redundant)."
Q110,Success: hard work vs luck,Yes,"Selected; it contrasts hard work vs luck as keys to success, a core belief about meritocracy vs external factors that varies across cultures, clearly measured on a 10-point scale."
Q111,Protecting environment vs. Economic growth,Yes,"Selected; it captures the trade-off between protecting the environment and economic growth/jobs, a key value conflict that varies by society. It's clearly framed (though a forced choice, it reflects a core priority difference)."
Q112,Perceptions of corruption in the country,Yes,Selected; perception of corruption in one's country is an attitudinal measure of institutional trust/cynicism that varies greatly across nations. It's clear and on a broad 10-point scale.
Q113,Involved in corruption: State authorities,No,"Not selected; focuses on corruption among state authorities, which is context-specific and largely redundant with the general corruption perception (Q112). It offers detail but not a separate core value."
Q114,Involved in corruption: Business executives,No,"Not selected; perception of corruption among business executives is context-specific and overlaps with overall corruption attitudes (already captured by broader measures), so it's excluded."
Q115,Involved in corruption: Local authorities,No,Not selected; perception of local authorities' corruption is specific and redundant with the general corruption question (Q112). It doesn't uniquely reflect a distinct value.
Q116,Involved in corruption: Civil service providers,No,"Not selected; views on corruption among civil service providers are context-specific. Such detail is beyond core values and overlaps with general corruption perceptions, making it redundant."
Q117,Involved in corruption: Journalists and media,No,Not selected; perception of journalists/media involvement in corruption is a niche detail and not a core value measure. Overall corruption attitudes suffice for cross-group comparisons.
Q118,"Frequency ordinary people pay a bribe, give a gift or do a favor to local officials/service providers in order to get services",No,"Not selected; frequency of ordinary people paying bribes is a contextual/experiential measure of corruption prevalence rather than a personal value, and it overlaps with general corruption perception."
Q119P,"Degree of agreement: On the whole, women are less corrupt than men (+)",No,"Not selected; the belief that women are less corrupt than men is a specialized stereotype, not a fundamental value. It's unlikely to significantly vary beyond specific contexts and is not core to value comparison."
Q11P,Important child qualities: imagination (+),Yes,"Selected; it indicates valuing imagination in children, reflecting openness and creativity values. This varies culturally (traditional societies might stress obedience over imagination), making it a relevant attitude to compare."
Q120,Risk to be held accountable for giving or receiving a bribe,No,"Not selected; perceived risk of punishment for bribery is a situational perception, not a personal value or belief. It reflects context (law enforcement effectiveness) rather than the respondent's core attitudes."
Q121,Impact of immigrants on the development of the country,Yes,"Selected; it asks if immigrants' impact on the country is good or bad, capturing overall attitude toward immigration. This is a core belief that varies widely across countries and demographic groups, and it's clearly rated on a good/bad scale."
Q122,Immigration in your country: Fills useful jobs in the workforce,No,"Not selected; it addresses one specific positive aspect of immigration (filling jobs), but immigration attitudes are better captured by broader or representative items (like Q121 and Q123). Including all such specifics would be redundant."
Q123,Immigration in your country: Strengthens cultural diversity,Yes,"Selected; it gauges a positive view of immigration (strengthening cultural diversity), a culturally relevant attitude likely to vary by society. It's clear and adds nuance to overall immigration attitudes."
Q124,Immigration in your country: Increases the crime rate,Yes,"Selected; it measures a common negative perception of immigration (increasing crime), reflecting public concern. This attitude varies across groups and provides insight into fears about immigration."
Q125,Immigration in your country: Gives asylum to political refugees,No,"Not selected; offering asylum to refugees is an important issue but is somewhat redundant with overall immigration sentiment. Key positive immigration attitudes are already captured (e.g., cultural diversity in Q123)."
Q126,Immigration in your country: Increases the risks of terrorism,No,Not selected; the view that immigration increases terrorism is a specific fear overlapping with general negative immigration attitudes (like crime in Q124). It's excluded to avoid redundancy among similar anti-immigration items.
Q127,Immigration in your country: Helps poor people establish new lives,No,"Not selected; the view that immigration helps poor people start new lives is a specific positive aspect. Overall pro-immigration attitudes are captured by Q123, making this item somewhat redundant."
Q128,Immigration in your country: Increases unemployment,No,"Not selected; the belief that immigration increases unemployment overlaps with other negative immigration concerns (like crime or general impact). The overall attitude is covered by included items, so this specific is redundant."
Q129,Immigration in your country: Leads to social conflict,No,"Not selected; seeing immigration as leading to social conflict is another facet of anti-immigrant sentiment. It's excluded in favor of representative items (e.g., Q124) to avoid redundancy among similar items."
Q12P,Important child qualities: tolerance and respect for other people (+),Yes,"Selected; it reflects valuing tolerance and respect for others as a child quality, a core humanistic value. Emphasis on teaching tolerance varies across cultures, making it an important comparative attitude."
Q130P,People from other countries coming here to work - Which of the following the government should do (+),Yes,"Selected; it asks what immigration policy the government should have (from prohibition to open entry). This is a direct measure of openness vs restrictiveness toward immigrants, a key attitude that varies widely across countries."
Q131P,Secure in neighborhood (+),No,"Not selected; feeling secure in one's neighborhood is about personal safety context, not a value or belief. It reflects local conditions more than the respondent's value system, so it's excluded."
Q132P,Frequency in your neighborhood: Robberies (+),No,"Not selected; frequency of robberies in the neighborhood is a factual/contextual perception, not an expression of values or attitudes. It's specific to environment and not a core personal belief."
Q133P,Frequency in your neighborhood: Alcohol consumed in the streets (+),No,"Not selected; frequency of alcohol consumption in the streets is a local social issue measure, not reflecting the respondent's values. It's context-driven and thus not suitable for values comparison."
Q134P,Frequency in your neighborhood: Police or military interfere with people’s private life (+),No,"Not selected; how often police/military interfere in private life is a contextual indicator of local governance issues, not a personal attitude held by the respondent, making it outside our focus on values."
Q135P,Frequency in your neighborhood: Racist behavior (+),No,"Not selected; frequency of racist behavior in the neighborhood is a context measure (how common an issue is locally), not a direct measure of the respondent's own values. It reflects environment rather than personal belief."
Q136P,Frequency in your neighborhood: Drug sale in streets (+),No,"Not selected; frequency of street drug sales is an environmental condition. It does not indicate the respondent's values or attitudes, so it is not useful for comparing core values."
Q137P,How frequently do the following things occur in your neighborhood: Street violence and fights (+),No,"Not selected; frequency of street violence/fights in the neighborhood is context-specific and not an expression of the respondent's values or beliefs, thus irrelevant for the values comparison."
