Variable_Code,Type,Question_Text,Response_Options_Full
Q106,Ordinal,Incomes should be made more equal vs There should be greater incentives for individual effort,Code 1: Incomes should be made more equal | Code 2: 2 | Code 3: 3 | Code 4: 4 | Code 5: 5 | Code 6: 6 | Code 7: 7 | Code 8: 8 | Code 9: 9 | Code 10: There should be greater incentives for individual effort
Q107,Ordinal,Private vs state ownership of business,Code 1: Private ownership of business should be increased | Code 2: 2 | Code 3: 3 | Code 4: 4 | Code 5: 5 | Code 6: 6 | Code 7: 7 | Code 8: 8 | Code 9: 9 | Code 10: Government ownership of business should be increased
Q108,Ordinal,Government's vs individual's responsibility,Code 1: The government should take more responsibility to ensure that everyone is provided for | Code 2: 2 | Code 3: 3 | Code 4: 4 | Code 5: 5 | Code 6: 6 | Code 7: 7 | Code 8: 8 | Code 9: 9 | Code 10: People should take more responsibility to provide for themselves
Q109,Ordinal,Competition good or harmful,Code 1: Competition is good | Code 2: 2 | Code 3: 3 | Code 4: 4 | Code 5: 5 | Code 6: 6 | Code 7: 7 | Code 8: 8 | Code 9: 9 | Code 10: Competition is harmful
Q10P,Binary,Important child qualities: feeling of responsibility (+),Code 0: Not mentioned | Code 1: Important
Q110,Ordinal,Success: hard work vs luck,"Code 1: In the long run, hard work usually brings a better life | Code 2: 2 | Code 3: 3 | Code 4: 4 | Code 5: 5 | Code 6: 6 | Code 7: 7 | Code 8: 8 | Code 9: 9 | Code 10: Hard work doesn't generally bring success - it's more a matter of luck and connections"
Q111,Ordinal,Protecting environment vs. Economic growth,Code 1: Protecting environment | Code 2: Economy growth and creating jobs | Code 3: Other answer
Q112,Ordinal,Perceptions of corruption in the country,Code 1: 1 There is no corruption in my country | Code 2: 2 | Code 3: 3 | Code 4: 4 | Code 5: 5 | Code 6: 6 | Code 7: 7 | Code 8: 8 | Code 9: 9 | Code 10: 10 There is abundant corruption in my country
Q113,Ordinal,Involved in corruption: State authorities,Code 1: None of them | Code 2: Few of them | Code 3: Most of them | Code 4: All of them
Q114,Ordinal,Involved in corruption: Business executives,Code 1: None of them | Code 2: Few of them | Code 3: Most of them | Code 4: All of them
Q115,Ordinal,Involved in corruption: Local authorities,Code 1: None of them | Code 2: Few of them | Code 3: Most of them | Code 4: All of them
Q116,Ordinal,Involved in corruption: Civil service providers,Code 1: None of them | Code 2: Few of them | Code 3: Most of them | Code 4: All of them
Q117,Ordinal,Involved in corruption: Journalists and media,Code 1: None of them | Code 2: Few of them | Code 3: Most of them | Code 4: All of them
Q118,Ordinal,"Frequency ordinary people pay a bribe, give a gift or do a favor to local officials/service providers in order to get services",Code 1: Never | Code 2: Rarely | Code 3: Frequently | Code 4: Always
Q119P,Ordinal,"Degree of agreement: On the whole, women are less corrupt than men (+)",Code 0: Hard to say | Code 1: Strongly disagree | Code 2: Disagree | Code 3: Agree | Code 4: Strongly agree
Q11P,Binary,Important child qualities: imagination (+),Code 0: Not mentioned | Code 1: Important
Q120,Ordinal,Risk to be held accountable for giving or receiving a bribe,Code 1: No risk at all | Code 2: 2 | Code 3: 3 | Code 4: 4 | Code 5: 5 | Code 6: 6 | Code 7: 7 | Code 8: 8 | Code 9: 9 | Code 10: Very high risk
Q121,Ordinal,Impact of immigrants on the development of the country,"Code 1: Rather bad | Code 2: Quite bad | Code 3: Neither good, nor bad | Code 4: Quite good | Code 5: Very good"
Q122,Ordinal,Immigration in your country: Fills useful jobs in the workforce,Code 0: Disagree | Code 1: Hard to say | Code 2: Agree
Q123,Ordinal,Immigration in your country: Strengthens cultural diversity,Code 0: Disagree | Code 1: Hard to say | Code 2: Agree
Q124,Ordinal,Immigration in your country: Increases the crime rate,Code 0: Disagree | Code 1: Hard to say | Code 2: Agree
Q125,Ordinal,Immigration in your country: Gives asylum to political refugees,Code 0: Disagree | Code 1: Hard to say | Code 2: Agree
Q126,Ordinal,Immigration in your country: Increases the risks of terrorism,Code 0: Disagree | Code 1: Hard to say | Code 2: Agree
Q127,Ordinal,Immigration in your country: Helps poor people establish new lives,Code 0: Disagree | Code 1: Hard to say | Code 2: Agree
Q128,Ordinal,Immigration in your country: Increases unemployment,Code 0: Disagree | Code 1: Hard to say | Code 2: Agree
Q129,Ordinal,Immigration in your country: Leads to social conflict,Code 0: Disagree | Code 1: Hard to say | Code 2: Agree
Q12P,Binary,Important child qualities: tolerance and respect for other people (+),Code 0: Not mentioned | Code 1: Important
Q130P,Ordinal,People from other countries coming here to work - Which of the following the government should do (+),Code 1: Prohibit people coming here from other countries | Code 2: Place strict limits on the number of foreigners who can come here | Code 3: Let people come as long as there are jobs available | Code 4: Let anyone come who wants to
Q131P,Ordinal,Secure in neighborhood (+),Code 1: Not at all secure | Code 2: Not very secure | Code 3: Quite secure | Code 4: Very Secure
Q132P,Ordinal,Frequency in your neighborhood: Robberies (+),Code 1: Not at all frequently | Code 2: Not frequently | Code 3: Quite frequently | Code 4: Very frequently
Q133P,Ordinal,Frequency in your neighborhood: Alcohol consumed in the streets (+),Code 1: Not at all frequently | Code 2: Not frequently | Code 3: Quite frequently | Code 4: Very frequently
Q134P,Ordinal,Frequency in your neighborhood: Police or military interfere with people’s private life (+),Code 1: Not at all frequently | Code 2: Not frequently | Code 3: Quite frequently | Code 4: Very frequently
Q135P,Ordinal,Frequency in your neighborhood: Racist behavior (+),Code 1: Not at all frequently | Code 2: Not frequently | Code 3: Quite frequently | Code 4: Very frequently
Q136P,Ordinal,Frequency in your neighborhood: Drug sale in streets (+),Code 1: Not at all frequently | Code 2: Not frequently | Code 3: Quite frequently | Code 4: Very frequently
Q137P,Ordinal,How frequently do the following things occur in your neighborhood: Street violence and fights (+),Code 1: Not at all frequently | Code 2: Not frequently | Code 3: Quite frequently | Code 4: Very frequently
Q138P,Ordinal,How frequently do the following things occur in your neighborhood: Sexual harassment (+),Code 1: Not at all frequently | Code 2: Not frequently | Code 3: Quite frequently | Code 4: Very frequently
Q13P,Binary,Important child qualities: thrift saving money and things (+),Code 0: Not mentioned | Code 1: Important
Q142P,Ordinal,Worries: Losing my job or not finding a job (+),Code 1: Not at all | Code 2: Not much | Code 3: A good deal | Code 4: Very much
Q143P,Ordinal,Worries: Not being able to give one's children a good education (+),Code 1: Not at all | Code 2: Not much | Code 3: A good deal | Code 4: Very much
Q146P,Ordinal,Worries: A war involving my country (+),Code 1: Not at all | Code 2: Not much | Code 3: A good deal | Code 4: Very much
Q147P,Ordinal,Worries: A terrorist attack (+),Code 1: Not at all | Code 2: Not much | Code 3: A good deal | Code 4: Very much
Q148P,Ordinal,Worries: A civil war (+),Code 1: Not at all | Code 2: Not much | Code 3: A good deal | Code 4: Very much
Q149,Binary,Freedom and Equality - Which more important,Code 1: Freedom | Code 2: Equality
Q14P,Binary,Important child qualities: determination perseverance (+),Code 0: Not mentioned | Code 1: Important
Q150,Binary,Freedom and security - Which more important,Code 1: Freedom | Code 2: Security
Q151P,Binary,Willingness to fight for country (+),Code 0: No | Code 1: Yes
Q152,Ordinal,Aims of country: first choice,Code 1: A high level of economic growth | Code 2: Making sure this country has strong defence forces | Code 3: Seeing that people have more say about how  are done at their jobs and in their communities | Code 4: Trying to make our cities and countryside more beautiful
Q153,Ordinal,Aims of country: second choice,Code 1: A high level of economic growth | Code 2: Making sure this country has strong defence forces | Code 3: Seeing that people have more say about how  are done at their jobs and in their communities | Code 4: Trying to make our cities and countryside more beautiful
Q154,Ordinal,Aims of respondent: first choice,Code 1: Maintaining order in the nation | Code 2: Giving people more say in important government decisions | Code 3: Fighting rising prices | Code 4: Protecting freedom of speech
Q155,Ordinal,Aims of respondent: second choice,Code 1: Maintaining order in the nation | Code 2: Giving people more say in important government decisions | Code 3: Fighting rising prices | Code 4: Protecting freedom of speech
Q156,Ordinal,Most important: first choice,Code 1: A stable economy | Code 2: Progress toward a less impersonal and more humane society | Code 3: Progress toward a society in which Ideas count more than money | Code 4: The fight against crime
Q157,Ordinal,Most important: second choice,Code 1: A stable economy | Code 2: Progress toward a less impersonal and more humane  society | Code 3: Progress toward a society in which Ideas count more than money | Code 4: The fight against crime
Q158,Ordinal,"Science and technology are making our lives healthier, easier, and more comfortable",Code 1: Completely disagree | Code 2: 2 | Code 3: 3 | Code 4: 4 | Code 5: 5 | Code 6: 6 | Code 7: 7 | Code 8: 8 | Code 9: 9 | Code 10: Completely agree
Q159,Ordinal,"Because of science and technology, there will be more opportunities for the next generation",Code 1: Completely disagree | Code 2: 2 | Code 3: 3 | Code 4: 4 | Code 5: 5 | Code 6: 6 | Code 7: 7 | Code 8: 8 | Code 9: 9 | Code 10: Completely agree
Q15P,Binary,Important child qualities: religious faith (+),Code 0: Not mentioned | Code 1: Important
Q160,Ordinal,We depend too much on science and not enough on faith,Code 1: Completely disagree | Code 2: 2 | Code 3: 3 | Code 4: 4 | Code 5: 5 | Code 6: 6 | Code 7: 7 | Code 8: 8 | Code 9: 9 | Code 10: Completely agree
Q161,Ordinal,One of the bad effects of science is that it breaks down people’s ideas of right and wrong,Code 1: Completely disagree | Code 2: 2 | Code 3: 3 | Code 4: 4 | Code 5: 5 | Code 6: 6 | Code 7: 7 | Code 8: 8 | Code 9: 9 | Code 10: Completely agree
Q162,Ordinal,It is not important for me to know about science in my daily life,Code 1: Completely disagree | Code 2: 2 | Code 3: 3 | Code 4: 4 | Code 5: 5 | Code 6: 6 | Code 7: 7 | Code 8: 8 | Code 9: 9 | Code 10: Completely agree
Q163,Ordinal,"The world is better off, or worse off, because of science and technology",Code 1: A lot worse off | Code 2: 2 | Code 3: 3 | Code 4: 4 | Code 5: 5 | Code 6: 6 | Code 7: 7 | Code 8: 8 | Code 9: 9 | Code 10: A lot better off
Q164,Ordinal,Importance of God,Code 1: Not at all important | Code 2: 2 | Code 3: 3 | Code 4: 4 | Code 5: 5 | Code 6: 6 | Code 7: 7 | Code 8: 8 | Code 9: 9 | Code 10: Very important
Q165P,Binary,Believe in: God (+),Code 0: No | Code 1: Yes
Q166P,Binary,Believe in: life after death (+),Code 0: No | Code 1: Yes
Q167P,Binary,Believe in: hell (+),Code 0: No | Code 1: Yes
Q168P,Binary,Believe in: heaven (+),Code 0: No | Code 1: Yes
Q169P,Ordinal,"Whenever science and religion conflict,  religion is always right (+)",Code 1: Strongly disagree | Code 2: Disagree | Code 3: Agree | Code 4: Strongly agree
Q16P,Binary,Important child qualities: unselfishness (+),Code 0: Not mentioned | Code 1: Important
Q170P,Ordinal,The only acceptable religion  is my religion (+),Code 1: Strongly disagree | Code 2: Disagree | Code 3: Agree | Code 4: Strongly agree
Q171P,Ordinal,How often do you attend religious services (+),"Code 1: Never, practically never | Code 2: Less often | Code 3: Once a year | Code 4: Only on special holy days | Code 5: Once a month | Code 6: Once a week | Code 7: More than once a week"
Q172P,Ordinal,How often to you pray (+),"Code 1: Never, practically never | Code 2: Less often | Code 3: Once a year | Code 4: Only on special holy days | Code 5: Only when attending religious services | Code 6: Several times each week | Code 7: Once a day | Code 8: Several times a day"
Q173P,Ordinal,Religious person (+),Code 1: An atheist | Code 2: Not a religious person | Code 3: A religious person
Q176P,Ordinal,Degree of agreement: Nowadays one often has trouble deciding which moral rules are the right ones to follow (+),Code 1: Completely disagree | Code 2: 2 | Code 3: 3 | Code 4: 4 | Code 5: 5 | Code 6: 6 | Code 7: 7 | Code 8: 8 | Code 9: 9 | Code 10: Completely agree
Q177,Ordinal,Justifiable: Claiming government benefits to which you are not entitled,Code 1: Never justifiable | Code 2: 2 | Code 3: 3 | Code 4: 4 | Code 5: 5 | Code 6: 6 | Code 7: 7 | Code 8: 8 | Code 9: 9 | Code 10: Always justifiable
Q178,Ordinal,Justifiable: Avoiding a fare on public transport,Code 1: Never justifiable | Code 2: 2 | Code 3: 3 | Code 4: 4 | Code 5: 5 | Code 6: 6 | Code 7: 7 | Code 8: 8 | Code 9: 9 | Code 10: Always justifiable
Q179,Ordinal,Justifiable: Stealing property,Code 1: Never justifiable | Code 2: 2 | Code 3: 3 | Code 4: 4 | Code 5: 5 | Code 6: 6 | Code 7: 7 | Code 8: 8 | Code 9: 9 | Code 10: Always justifiable
Q17P,Binary,Important child qualities: obedience (+),Code 0: Not mentioned | Code 1: Important
Q180,Ordinal,Justifiable: Cheating on taxes,Code 1: Never justifiable | Code 2: 2 | Code 3: 3 | Code 4: 4 | Code 5: 5 | Code 6: 6 | Code 7: 7 | Code 8: 8 | Code 9: 9 | Code 10: Always justifiable
Q181,Ordinal,Justifiable: Someone accepting a bribe in the course of their duties,Code 1: Never justifiable | Code 2: 2 | Code 3: 3 | Code 4: 4 | Code 5: 5 | Code 6: 6 | Code 7: 7 | Code 8: 8 | Code 9: 9 | Code 10: Always justifiable
Q182,Ordinal,Justifiable: Homosexuality,Code 1: Never justifiable | Code 2: 2 | Code 3: 3 | Code 4: 4 | Code 5: 5 | Code 6: 6 | Code 7: 7 | Code 8: 8 | Code 9: 9 | Code 10: Always justifiable
Q183,Ordinal,Justifiable: Prostitution,Code 1: Never justifiable | Code 2: 2 | Code 3: 3 | Code 4: 4 | Code 5: 5 | Code 6: 6 | Code 7: 7 | Code 8: 8 | Code 9: 9 | Code 10: Always justifiable
Q184,Ordinal,Justifiable: Abortion,Code 1: Never justifiable | Code 2: 2 | Code 3: 3 | Code 4: 4 | Code 5: 5 | Code 6: 6 | Code 7: 7 | Code 8: 8 | Code 9: 9 | Code 10: Always justifiable
Q185,Ordinal,Justifiable: Divorce,Code 1: Never justifiable | Code 2: 2 | Code 3: 3 | Code 4: 4 | Code 5: 5 | Code 6: 6 | Code 7: 7 | Code 8: 8 | Code 9: 9 | Code 10: Always justifiable
Q186,Ordinal,Justifiable: Sex before marriage,Code 1: Never justifiable | Code 2: 2 | Code 3: 3 | Code 4: 4 | Code 5: 5 | Code 6: 6 | Code 7: 7 | Code 8: 8 | Code 9: 9 | Code 10: Always justifiable
Q187,Ordinal,Justifiable: Suicide,Code 1: Never justifiable | Code 2: 2 | Code 3: 3 | Code 4: 4 | Code 5: 5 | Code 6: 6 | Code 7: 7 | Code 8: 8 | Code 9: 9 | Code 10: Always justifiable
