B_COUNTRY_ALPHA,Factor_1,Factor_2,Factor_3,Factor_4,Factor_5
AND,-0.06844485318876653,-0.7371110198943892,-1.5214738412836455,1.1659226579134803,2.3771290166638597
ARG,-1.1404752209015259,-0.5816488876633413,-0.9055685415542518,0.9384114706751722,2.7461569406342443
ARM,-1.6753029366405752,-0.5819829375414252,-1.2433063353712692,-0.6107754333037679,2.3302805981557015
AUS,0.18435263428397222,-0.035419869839937675,-0.20902896927961082,-0.05007768757592317,1.4289537758376993
BGD,-1.4730034717991976,-1.964852447819069,-1.0227847009862503,-1.3853006084799917,2.0961414848462105
BOL,-1.8765343743496894,-0.33425139762632433,0.3189928354810041,0.036107810019580605,2.479287276993263
BRA,-1.1311205568560965,-0.05187529326222943,-0.10317682303530007,0.024844290467404415,2.402788820898675
CAN,-0.018124885726188016,-0.7132500801224397,-0.15588610177355838,0.43583059701957,1.9246750696834387
CHL,-0.42559626114875293,-0.17466138572639184,0.7464882765091213,-0.19568330900476602,2.357399146246295
CHN,0.4158784318050564,-2.7574898512044235,-1.0084658854213244,-0.7402821845639759,3.741824506835987
COL,-2.0008435909398328,-0.17288526677287833,0.5932745697036598,0.3210703508898748,2.197020597191603
CYP,-1.4432674350458412,-0.1165422402851148,-0.5690195465077772,-0.41427189018374133,1.792959874266427
CZE,0.23789605525082796,-0.9193347921616913,0.12871062665125463,-0.14418383441392446,2.71870036760501
DEU,-0.23536957362731595,-0.7805179275155577,-1.0493742642631347,0.44185992771961297,2.6021994305431733
ECU,-2.074145386126083,-0.3153162195710657,0.4934450210363994,-0.03717910814987899,1.9606380518919326
EGY,-0.5273644737281625,-0.02978274716280111,-1.4504531195814818,-2.2330695945691486,3.240365458565295
ETH,-2.419480188865173,-1.2292483746488654,-1.6357510145625198,-0.9968943920163114,3.120140460573195
GBR,0.33146574261606504,-0.4022174144397249,-0.5791809439349425,0.47616008514918806,1.8548342071660064
GRC,-1.0283773735867106,-0.003600391010232007,-0.9570281784171717,0.022248079025063348,2.46503652086966
GTM,-1.653969568862526,0.11277445827283596,0.9480559206288327,-0.06290880933980161,2.2578360232289563
HKG,-0.4711276438247537,-0.9568975694885202,0.5606840189486484,-0.713779214680917,1.7835125694692597
IDN,-1.674706842320194,-2.009769020016449,-0.5365475399720229,-1.1496812801059224,2.6351348963857073
IND,-1.6844071629040496,-2.253852207905496,-0.2847388288429158,-0.7685500590378566,1.871269444510396
IRN,-1.3126518159614726,-1.984865430970738,-0.6468120384878722,-1.2059074001178418,1.4248548892524884
IRQ,-0.9944914174005147,-0.2720832199981713,0.569031528783838,-1.576966527988684,2.5931231054654598
JOR,-0.6789490075658882,-0.06473694228886517,-1.0421994969701343,-2.609911888710369,3.128897002687378
JPN,0.11894454133336066,-0.5097668150711201,0.23399901306674728,0.12004313299422133,1.9769109195002335
KAZ,-1.2480011295662965,-2.0275402451047126,0.6368308798899663,-0.5451713933266586,2.698373200032992
KEN,-1.4901445056814289,-0.8814209151453958,0.5709119945061706,-0.6481131068740417,2.33365117833508
KGZ,-1.8842618944706204,-1.897099000656044,-0.5572644760967278,-0.9595500697134705,2.9955735687767273
KOR,-0.11989362129631219,-0.8888022777938436,1.2065449553726455,-1.010175873035086,1.8190129789171376
LBN,-0.8805633818604419,-0.11333726041826771,0.32956909236375037,-1.0714477831641105,2.4913553809651092
LBY,-1.5320118927926991,-0.3297005924859956,-0.6469548191052158,-1.7407386008196217,3.1229817771390715
MAC,0.1844560899916164,-1.595316383482045,0.4099056969075876,-0.5493075387324313,0.8361611520811284
MAR,-1.2245871296631803,-0.7103370939184912,-0.3871564623265093,-1.221565546203491,2.7610674463872527
MDV,-1.0459877074201058,0.3805494787241596,-0.4035132713050667,-1.549025256039064,2.22967968751007
MEX,-2.014752965008642,0.13231704776673872,0.6738440822523187,0.3330747951057369,2.157827540987033
MMR,-1.3050434052994342,-1.7150591325885334,-0.3603524142866461,-1.5353990497547754,-1.5209913897887715
MNG,-0.32528443037215854,-0.7634791854006944,1.4392880052768493,-0.384092772672987,2.739766612954204
MYS,-1.237610856090547,-1.1045498539585201,1.5941774448105077,-0.8362487928281902,2.0595130043548
NGA,-2.061504371147737,-1.6998186254730119,-0.7352133606345339,-0.6143160954713166,3.952830750452366
NIC,-2.196305812179524,-0.26335766945518535,0.21090684562062284,0.6207010746258121,2.469656524760595
