B_COUNTRY_ALPHA,Factor_1,Factor_2,Factor_3,Factor_4,Factor_5
AND,-0.006163578076103354,0.575525818611486,-2.5957827501221917,1.1834050806438816,-0.26850688979045356
ARG,-1.1583287122191614,0.8553622603561273,-1.5766424726530714,0.7304901369625428,-0.3605326671685341
ARM,-1.6693099197430932,0.7156424837481297,-2.1887767429952967,-0.625121695368054,-0.2799143947923559
AUS,0.770715157562835,1.132020491282226,-1.5404675657316715,0.48291187660760176,-0.34491042154774115
BGD,-1.7075158110101165,-0.6218803840658331,-2.0154024570572275,-1.7091727753717476,-0.7581932559219174
BOL,-1.985758964766822,1.1481457966729958,-0.5611831669790354,-0.16006384776986607,-0.4313725751022976
BRA,-1.1623289791956286,1.1829958981959965,-1.3087203619225256,0.18642660236781375,-0.22265611090786783
CAN,0.32781412183379016,0.3843849056909964,-1.515959643054281,0.8197524955617718,-0.250336051268953
CHL,-0.2988824055618078,0.9912388611371123,-0.35351678227893174,-0.06612412259691834,-0.30339215648062856
CHN,0.913871598598863,-1.4328535370450692,-1.8181205803967575,-1.0314658597627657,0.4863882376932631
COL,-1.9747438166329796,1.3067842157485916,-0.4690461168686901,0.34067331247024796,-0.6911320986406655
CYP,-1.2804097422501606,0.9164141921378018,-1.7993633965508222,-0.17940450266215574,-0.43335128466742323
CZE,0.6027896603125001,0.3257693453071699,-1.1087678052694268,0.11715375425197101,-0.2727719934029443
DEU,0.3334816594488353,0.34786317976799347,-2.3859545976978547,0.8141608121888078,-0.12788553495908958
ECU,-2.0846040371702315,0.9858343597043054,-0.43319535079438587,0.0069782964358255685,-0.5285029544120012
EGY,-0.7731523965345845,1.4022389955767338,-2.263432368706653,-2.628798501671266,-0.11190965391872441
ETH,-2.117587123351899,-0.060668749377402166,-2.7467072327459214,-0.8675464112108282,0.21401264710072376
GBR,0.8174400398692698,0.7975579997664917,-1.826740642958365,0.958668136027332,-0.21774018552614793
GRC,-0.908494270275993,1.2544913751380316,-2.1352564191369736,0.20115219008621238,-0.402971196723141
GTM,-1.6471812603609643,1.3700424699276716,-0.026659999649991495,-0.10859701289124325,-0.7172250316713584
HKG,0.10910931783549459,0.1970697547560008,-0.47215160611107343,-0.18854530550195409,-0.11680031664306274
IDN,-1.8340312713681162,-0.5846786808285763,-1.6072604209472345,-1.2646643868749439,-0.23939865904982355
IND,-1.655444489882636,-0.969177318808081,-1.4722683048961702,-0.9054499291630184,-1.0012516582353006
IRN,-1.4156975326676922,-0.6505876869266529,-1.8381621100163388,-1.2584408028618446,-1.1819752826550811
IRQ,-1.1990801149749364,1.063940830985872,-0.5961791268476395,-1.7547173140206196,-0.280509030217736
JOR,-0.9503323349731286,1.116153249057624,-2.1488278415583655,-2.650674286148184,0.18172857717259142
JPN,0.8734129440338558,0.7092266204657867,-1.0657038614950998,0.15565719564114414,-0.3276463958686642
KAZ,-1.0230494972022224,-0.7091677982667363,-0.3732958170148342,-0.5562777121087799,-0.11026594363848291
KEN,-1.6959439917696757,0.3055881548501589,-0.6949785390383085,-0.6373035205443883,-0.12663122347376665
KGZ,-1.7501084966720475,-0.5793185954245446,-1.7160997253371109,-1.0820317001320143,0.43424122527831
KOR,0.27740598474413697,0.15124111880483063,-0.07109354117454539,-0.5815775851024853,-0.2945311746463081
LBN,-1.0344770929196259,1.2229327325703496,-0.6058819601578693,-1.1656091096904029,-0.3454857620466292
