B_COUNTRY_ALPHA,Factor_1,Factor_2,Factor_3,Factor_4,Factor_5
AND,0.03689575849159049,0.1813903123409698,0.004862021377075682,0.06206936924137779,0.4505955194575308
ARG,-1.029336442959867,0.19969751817526668,0.8819035183359711,-0.24529891868415193,0.6180183778938686
ARM,-1.2058491584588003,-0.0893341005714475,0.18902041311873907,-1.4426454989199775,0.2852338630887645
AUS,0.32986370955720196,0.6867863370598779,0.9164652180866555,-0.733804998030168,0.19323503687659832
BGD,-1.1469212201806618,-1.4162843373104566,0.33452307132051856,-2.2321863399908275,0.17363073032630297
BOL,-1.4781912906216919,0.31975145654408155,1.8935647069767485,-0.9187801114749521,-0.0028304861442862714
BRA,-0.8216240043230604,0.567116118462517,1.2285658386905478,-0.8182544856485761,0.6253375848717762
CAN,0.014782066392419774,0.1374019857045444,1.0018967248266852,-0.5080639048797642,0.4689675025720772
CHL,-0.748415898754366,0.591706001462051,2.2086110546394484,-1.165077718161235,0.4072047080297829
CHN,-0.1007707501483429,-2.487623805881225,-0.8085605879157768,-1.175904781000895,2.646670426114557
COL,-1.5561347006013229,0.4350952677533391,2.072014853492702,-0.44683462891704184,0.14609150042155195
CYP,-1.093701577945365,0.5495773675740503,0.6846047883137504,-1.2678480160684782,-0.14098980912678494
CZE,0.26192418904976755,-0.28341721744551307,1.2203262381219302,-0.9626712827994517,0.992749956752002
DEU,-0.012815097335253624,-0.07712059201667422,-0.06356431645518285,-0.43689898090374235,1.0644102874721832
ECU,-1.825460678049633,0.35454267220927055,1.8658911067754782,-0.9198881316674838,0.19005089616870025
EGY,-0.3213202318156798,0.2937571335365862,-0.4642822052575048,-2.8259707699303167,1.8520064984280873
ETH,-1.3534672306964928,-0.7885477260021637,-0.42462122161271093,-1.6942049472672591,0.6673930840953678
GBR,0.3925148150720116,0.27433511624155893,0.424138437474996,-0.19546792202830504,0.5954620976709796
GRC,-0.7172235274269044,0.45215770470276184,0.2950704395347441,-0.8056694036038858,0.9361185991902659
GTM,-1.1871730288682234,0.6000825731741731,2.334046009265689,-1.0229571007621823,-0.4468609103341134
HKG,-0.3923991688434826,-0.596588624596889,1.2684920323334317,-1.3041001465782214,0.2600338028336111
IDN,-1.2641246167389506,-1.5281984901010255,0.5652598729974694,-1.7618422893256416,1.3292921282678936
IND,-1.1977156158796824,-1.9322391148163147,0.9727362758939376,-1.4045122171113278,0.48198973219697827
