,Q11P,Q12P,Q149,Q150,Q151P,Q15P,Q165P,Q166P,Q16P,Q17P,Q19P,Q20P,Q21P,Q22P,Q23P,Q25P,Q26P,Q57P,Q8P,Q9P,Q106,Q107,Q108,Q109,Q110,Q111,Q112,Q121,Q123,Q124,Q130P,Q160,Q162,Q163,Q164,Q169P,Q170P,Q171P,Q172P,Q173P,Q176P,Q180,Q182,Q184,Q185,Q186,Q188,Q189,Q190,Q195,Q197P,Q199P,Q224P,Q234P,Q235P,Q236P,Q237P,Q238P,Q239P,Q241,Q242,Q243,Q245,Q246,Q248,Q249,Q250,Q254P,Q255P,Q259P,Q27P,Q28P,Q29P,Q2P,Q30P,Q32P,Q33P,Q34P,Q35P,Q37P,Q38P,Q39P,Q3P,Q41P,Q42,Q4P,Q5P,Q64P,Q65P,Q66P,Q68P,Q69P,Q6P,Q70P,Q71P,Q72P,Q73P,Q77P,Q90
Q11P,1.0,-0.03674896475791299,0.026714582252211107,-0.08428196107537834,-0.05893067149834257,-0.07347008427710133,-0.0961862510472767,-0.01433462763315495,0.09110304563956828,-0.03672950403965994,0.057996032743638716,0.008684410099462138,0.05132016386704989,-0.04023251014710829,0.04660009586923484,0.0023463888984545335,0.055306119418788,0.11726407534316897,0.15613149412945176,0.0055418349839310745,-0.003336380085782159,0.0010948230637545086,0.047598358568097236,0.06908202236795971,0.10158233564377686,0.026769589503669453,-0.036869280915629334,0.066391007368201,0.0683516842714313,-0.01873817172215728,0.11419506212708333,-0.010877363744080886,0.016444171317548766,0.027510142858159944,-0.12399363275035451,-0.07672800422725853,-0.05463185675166115,-0.06465006198738765,-0.09576725168824399,-0.10978276294317511,0.022854372124470747,0.08444555019305364,0.15219637258698318,0.15419978082586203,0.10296585835137802,0.12174284560076791,0.14194216043361466,0.06531662372672442,0.034086237687846715,0.05798592365474899,0.03420253886183861,0.09411382688931991,0.06016685535159011,-0.02885490247617792,-0.015532676412288891,0.013620646134681696,-0.005868337794415831,0.00415307885040883,-0.03984494479789731,0.033419671205572675,-0.0011351104917197024,-0.006015264289870791,-0.0033054668177706376,0.022702824668850593,-0.026056959278598114,0.005273349238380992,-0.013797903115112548,-0.05306993117160598,-0.035707677378835255,0.029293080917723244,-0.08415727519171076,-0.010303385257547069,-0.03630646071650469,0.052844052959253755,0.012932896889756068,0.01854267770532812,-0.03485090175764093,-0.0887039910649848,-0.020628529553497955,-0.05985346109143881,-0.09931329070345955,-0.08639704049001751,0.04285425163689353,-0.08352968524044231,-0.0026340314732032867,0.08209085158380157,-0.06446400857719044,-0.08648646217217808,-0.012909123268918505,0.021649912621806537,0.0555737887502226,0.03402554349831607,-0.11859360761696121,0.0360207028899618,0.011758233674643709,0.05716651819192057,0.044797289835902254,0.0056737530721280224,0.050134013724213035
Q12P,-0.03674896475791299,1.0,0.01411415050597781,0.022007953228984144,-0.0104876388625025,-0.003954167964229921,-0.0015016784055742044,0.022091857086043297,0.0661345489583885,0.01205606981402208,-0.054729053447214904,-0.07085825102180084,-0.05123173799267849,-0.08798612588210868,-0.04263800172916267,-0.05439359844483039,-0.025887461665492197,0.05939480762346135,-0.014982441744817231,-0.06704784060685637,-0.019022622706333397,0.009769186394513133,0.007388125684421759,0.0021178088767439458,0.019917424884237752,-0.01398945795677311,0.03649245813439789,0.04092672506243894,0.09944950979292654,0.021873709448843204,0.04803459351428864,-0.013143455994633764,-0.04144128240173115,-0.0034575107581319583,-0.015208210411048266,-0.05480455344230878,-0.07409917934076592,-0.03700472861529075,-0.008013343733448941,0.006367497423944162,0.037455680931998976,-0.048111830680051385,0.14034924742224025,0.07061050054688546,0.10947911958764063,0.10060628526562156,0.09283583437933629,-0.05340892940328557,-0.016977329226260923,-0.018174907226826006,-0.06250884480715806,0.03852200303848353,0.0385830965811846,0.0783354080833414,-0.06891453277782335,0.00934110174327862,-0.07767046791406061,0.07552753524886294,-0.06074212538466383,0.001809756671797136,-0.06632866848596398,0.07983706727287729,-0.06919746634437994,0.049044510474192886,-0.06556665325922777,0.09135817860329579,0.09607964925638184,0.0352361844681832,0.011613230647169006,0.03144453055881362,-0.010392047316980268,-0.026838570223384463,-0.09682382364656873,0.055020720405800555,-0.09873186801977363,0.05027930638164232,-0.11544708265634183,-0.05446157904074097,-0.055903096960155614,-0.0876099452473397,-0.02958171717364986,-0.01349634961185902,0.08449645508370603,-0.056200175937675984,0.037691527168049965,0.03455420632691794,0.014400174705130393,-0.042263303902978326,-0.01866717310704344,-0.02227520035990968,-0.025193534639328916,0.017475513175265835,-0.02711696622825487,0.006190334917056046,-0.032705453897285644,-0.03630002001991333,-0.0455136096281289,-0.014857145487193451,-0.011736056497718108
Q149,0.026714582252211107,0.01411415050597781,1.0,0.23151905434024347,0.07077500582763616,0.08185773920315584,0.04923562145236212,0.08230386110164449,0.03804057247923208,0.046605965814276666,0.039310794136477804,0.09165307063416406,0.049576131414691034,0.07507801068526722,0.0743744337205092,0.126229315897031,0.06483730216022504,-0.025321453253775314,0.023329615978101778,0.02292104182227365,-0.020338846458725232,0.08262348590657939,0.009706272845123074,0.08149856593378409,0.03376585632126287,0.025861096315687025,0.024476603286493474,0.0029280009178117325,-0.011515493619848804,-0.013121342150197973,-0.010878904979216033,0.05592340987496095,0.036059118268686526,-0.03394590467061001,0.08392708979019356,0.08326764839518462,0.09779474712105869,0.05596120429225155,0.08456480714679251,0.04472813711533188,0.055673932987296566,0.031777968847951456,-0.07112641640645855,-0.08036889773130794,-0.0757686457330417,-0.11698468788440136,-0.0694938176539085,0.05118072771702916,0.05620430368940119,0.05952806297617358,0.10571169353444022,0.010670036690851308,-0.02070583272962445,-0.019794547433010564,0.10427299833402572,0.051684168266115355,0.13900479627757753,-0.029037049122879497,0.10083834898712579,0.041641446888139345,0.08599994534744876,-0.03997624313897797,0.07299501035612126,-0.03231507998775403,0.06412331097702159,-0.024671404619600774,-0.025935706094231847,0.02557763439911827,0.02156831434253995,0.00718489337638143,0.08843170358762638,0.08963512288621779,0.06262233120489444,-0.03137213025421306,0.05358927028940847,0.053101727179253246,0.09034613686695961,0.04203519745696672,0.04917762763737451,0.08324818764766019,0.10172571009622496,0.04666361401620973,-0.02069781248169629,0.06911904276130322,0.020365541474483037,0.04991006814974876,0.06753088960554665,0.04281551449908196,0.027862916940395367,0.04105189651349858,0.05239514700446083,0.03627538430726687,0.10004289985889553,0.023268629439641732,0.05616222191080453,0.052820278040569935,0.04101430459346514,0.00970016702713165,0.006659281301993203
Q150,-0.08428196107537834,0.022007953228984144,0.23151905434024347,1.0,0.13195654667053378,0.12520981357238026,0.11976556777867646,0.10229886076139932,-0.01434392562350981,0.09042572994231124,0.0402422421633973,0.1007036406843736,0.0518356208578957,0.14874850105480342,0.04401424176892474,0.13259754739577348,0.036215013709402416,-0.09489983969528948,-0.0335072118673966,0.05140117018115399,0.07638815880806497,0.08930156604685725,-0.00981489716659808,0.017514851406350465,-0.046357128863899026,0.02907807815892597,0.08506033355637396,-0.035794142303560914,-0.033201209514693734,0.08811791339524119,-0.07587894937167358,0.09094069959831291,0.0186991078017144,-0.010873500466107886,0.1602119533863161,0.15966954305010142,0.15435290147485722,0.11756853431077997,0.1555874204322089,0.12923956867739225,0.0783275799675231,-0.04033637007025723,-0.17089205948232697,-0.16296259666399693,-0.1369122485633523,-0.17684443206276365,-0.12603663026259754,-0.017332208824574563,0.040921532261028334,0.030479833383507998,0.10976789722620753,-0.055938088515423305,-0.037302488351248574,0.019652073297437418,0.13145842567293295,0.07017801930411302,0.11147451379211626,0.007485146338562962,0.11576842531765567,0.04281859484282993,0.07928065621493614,0.014160912270356102,0.08175613988408552,0.004877510080254654,0.1195095374673444,0.018151838326167166,0.02125215650678811,0.09212884522581086,0.10778671961120538,0.0012371859311614982,0.17004389844915968,0.11363960620663068,0.1058943264316852,-0.03857652691990973,0.060496901285859474,0.06327120163798364,0.1395090577147536,0.16477924229537927,0.09327543209192415,0.15192299679579682,0.1968551220324288,0.14742777258511539,-0.008910454758995618,0.1431591625999668,0.05280523076502684,-0.020039722456553808,0.13305624958329318,0.13018041308587963,0.06001628159238833,0.0574429899607886,0.02672635500412663,0.04135427592824568,0.18142907214081838,0.03583519552520537,0.07714513941854989,0.018449791384500005,0.023332011547340718,0.04758398409489038,-0.025955248220213636
Q151P,-0.05893067149834257,-0.0104876388625025,0.07077500582763616,0.13195654667053378,1.0,0.1514163621738879,0.18870210148380528,0.13035887287895453,-0.03626866759683531,0.08777959447510118,0.04794900795675297,0.13795204222676416,0.04828636292418025,0.2087388103391427,0.0824876487839306,0.15173798349017045,0.048162643927102566,-0.06106541100839289,-0.020025936126127016,0.09555615820866688,0.12027355136616907,0.06019446584380739,0.03312123966719623,-0.03634436483134616,-0.07388426917372591,0.03584066208794058,0.09687924799528805,-0.06181783794037602,-0.03623550602465063,0.0758376392859245,-0.06659259713666477,0.10893684302360909,-0.00332301156588868,0.05218000429224904,0.25548024846184914,0.22366979415755484,0.23257729209170272,0.16898227325651735,0.21881260858283955,0.1837679330211145,0.04076594262256581,-0.008201317106388675,-0.2510829302238239,-0.20854606930618552,-0.19433357343090188,-0.233859546176251,-0.18553092015904554,0.035996893262035305,0.04208900393582597,-0.007048893800174757,0.1420948638519219,0.047114373628937035,-0.03542451938384302,0.07970307880590148,0.14828405240063933,0.04661400202182912,0.13458936197566285,0.034043692201998724,0.13940504759989336,0.06880934847728239,0.12213604853410487,0.020415264730016237,0.11939302504241084,0.019828410231080694,0.16083618766266206,0.007796998290328165,0.07320321800359351,0.22171497010645705,0.1755477131271434,0.09014315635893848,0.237165955541336,0.14575073730053045,0.20500806342532588,-0.018033849749515083,0.13348895008420514,0.06180766387734455,0.21393375746964893,0.1959577099079835,0.13146804582022206,0.2499862387990277,0.27142028260973333,0.18874794390454858,-0.02465264534842102,0.24610875875370727,0.037323955290810125,0.03530760268304288,0.20171816460970834,0.20607828857671634,0.1414660956259285,0.08014099962891293,0.05584215313566077,0.06003230664232621,0.2530573515723458,0.06165641034494538,0.15328872993972187,0.06809721990858092,0.0920529760660794,0.07490443563522606,0.014876735417712108
Q15P,-0.07347008427710133,-0.003954167964229921,0.08185773920315584,0.12520981357238026,0.1514163621738879,1.0,0.2703668727417944,0.257389420456179,0.0038479673943563686,0.20445712959797457,0.04153026883251243,0.06676446411420688,0.04759541020558703,0.22720884925510387,0.09009844397288738,0.26151300642292674,0.07242125723192998,-0.11793694127464026,-0.10876330228965042,-0.013909297481263745,0.07118301276698695,0.06645121281838975,-0.027639553665480807,0.0002247615871216512,-0.06174447364426473,0.07399613980366694,0.1653277022946316,-0.08938968796720631,-0.06184957575602664,0.05093423402690078,-0.042139359398894675,0.05844872753488489,0.02278741246133418,-0.039251803528068945,0.39088382457290977,0.4326838012803121,0.36219229189352187,0.36260025423805514,0.42357941356596523,0.290965266735966,0.08169703494705984,-0.0028850832148604997,-0.253889502199437,-0.23042252424144713,-0.1846956464522659,-0.30573758517820016,-0.22876835568515602,0.04118913032366307,0.10350978053386899,0.005166304679184329,0.13742357451248696,-0.029494436543558506,-0.12002780940733127,0.08639488070820493,0.054173727399361174,0.049221480549987845,0.12125574895569587,0.01392721674243247,0.24333437814294265,0.07294015417706541,0.2268062011663093,-0.010186866413525642,0.1360480027526064,-0.010527489249811402,0.16977406678698756,-0.06798725351251582,0.021217612207529542,0.1428363184821133,0.10339994853050898,0.10656171950937715,0.2506837237250376,0.14613692721443533,0.17208420039907293,-0.000295900082835807,0.09663658340338473,0.08394587075308252,0.2199062627397144,0.17309341765947478,0.15203648802137856,0.23881721604823672,0.23787484401220824,0.1481541432803585,-0.006438602034416153,0.20474528143534762,0.017179170356161823,0.0003940895003002907,0.17064916971866068,0.2978018649659104,0.05790446683842771,0.004112929932114112,-0.02532007765330509,-0.011508853996371646,0.45939720120683597,0.015699635909698452,0.01260187090280184,-0.0557968953690491,-0.055799302207012846,-0.0014095539188123671,0.01819549338982845
Q165P,-0.0961862510472767,-0.0015016784055742044,0.04923562145236212,0.11976556777867646,0.18870210148380528,0.2703668727417944,1.0,0.4305017937154712,-0.036300717244587416,0.17221602372991063,0.01773402100019935,0.04360416905144328,0.01426747122111029,0.15739532015661853,0.04507725958577445,0.11935341680893795,0.03070224953775908,-0.21747260677343777,-0.13088829438959806,0.053516903116819246,0.07558865507397236,0.051998399168641164,-0.018100416140557803,0.0041274029707215115,-0.05963699796039779,0.06845342867061649,0.19132108014498683,-0.08279574651354521,-0.09297141137952705,0.04597682874433234,-0.03503048563632615,0.16627394539785897,0.06707624398218455,-0.06588913506548924,0.6742094922103291,0.4014413080696427,0.29864108550670804,0.3927777011484569,0.540895217997479,0.5810761665339776,0.05590301352271565,-0.018299802421905355,-0.32173857005370526,-0.3411599671896181,-0.24516526874689146,-0.3287891137759307,-0.31248369319076824,0.01128299714445595,0.061787222179032805,-0.08209782905755528,0.0872260892058443,-0.07406242801110553,-0.18316909947137455,0.12588367698581154,0.15179503728716479,0.07411274304605779,0.10355147638670704,0.012635028674236659,0.20284934648485997,0.018184205499169378,0.1758657171772996,-0.03337719421659327,0.11349777767078198,-0.0458136217936546,0.15276528635752532,-0.06584407147095199,0.01548762967841561,0.18984932092489284,0.16207710952602586,0.07519674158987104,0.30720323377933245,0.13987106873523364,0.1357902851125322,-0.04364633471829205,0.09863317077495293,0.07116320647892774,0.19620756053324595,0.1778624434228094,0.1759452052177211,0.21401841777348837,0.2615831767377887,0.16834508579759971,-0.02001275269118143,0.22671373851252277,0.015090417035225514,-0.05651036961445306,0.2174964580213789,0.3505832056650819,0.03745972314094525,-0.003017315768101122,-0.08586369977543205,-0.0621235266448365,0.5506772559934607,-0.07634066538287802,-0.01402766928202696,-0.09984955344885164,-0.07855204936658575,-0.005828063239513108,0.04515259655696175
Q166P,-0.01433462763315495,0.022091857086043297,0.08230386110164449,0.10229886076139932,0.13035887287895453,0.257389420456179,0.4305017937154712,1.0,0.013670890364721374,0.08780445592799357,0.008950410719444558,0.03915670684916027,0.011776036507637068,0.1254655144015296,0.04176125969832269,0.14235759677695053,0.03290860435920624,-0.09153349210865735,-0.05713003107282178,0.03975336293664761,0.031153133245543543,0.0405752029813096,-0.02553854467000457,0.00047992799335137034,-0.025900742193061956,0.049577434502087174,0.10254552241493775,-0.05417819210488414,-0.014261835142411906,0.03999341645131549,-0.029622349537253387,0.06966639287612565,0.018606378069528366,-0.010745832595674519,0.39065072016124286,0.3442718055450919,0.27126768667536344,0.2962142196448411,0.392641010872292,0.33102683377609543,0.06667978071608477,-0.00035199963942893317,-0.160236231233778,-0.17453861738574214,-0.14280359160348116,-0.22196677117182534,-0.17272767954260973,0.028276820223158593,0.026655337404137603,0.011328674969900067,0.10860032916956791,0.007702984473494773,-0.05880465150779428,0.11486167978462732,0.0816842208936432,0.06024647154462743,0.10605654660254847,0.01738765401103972,0.1826078377762873,0.06027339874377174,0.16010934908225025,-0.0015097625551407045,0.09467815958946826,-0.006010004868624398,0.14295712849197872,-0.036291243232616024,0.02164880388012918,0.12304427506215161,0.14300486855136685,0.10301854232078075,0.2122269528181328,0.09114375745793994,0.12156244662290613,0.037118655504041996,0.06864689708696285,0.09877416885642665,0.17155742913571873,0.14745683459625505,0.12373722276696486,0.16438375421668264,0.18557122287265002,0.12038775044805199,0.012060227961933071,0.1270580045827756,0.0015116611916132184,0.028423540722498867,0.12888916669229228,0.2396590637250709,0.1032771468924481,0.045447899871443466,0.03795700811869328,0.03723211163524505,0.3861109449156514,0.033260264621412135,0.04361865189864581,-0.007467618399036746,-0.006368176460867946,0.022019065214098656,0.03493787026039942
Q16P,0.09110304563956828,0.0661345489583885,0.03804057247923208,-0.01434392562350981,-0.03626866759683531,0.0038479673943563686,-0.036300717244587416,0.013670890364721374,1.0,0.0961479881005243,0.030471066669667476,-0.02575246073709271,0.025525806131470968,-0.059843879726545396,0.03225446522700738,0.017694618820399223,0.03397659420628763,0.07644365764259321,-0.0058824618149789475,-0.07034955836879468,-0.012542973420380585,0.03055940444446754,0.02307241537552011,0.04705546080369546,0.06702886519280878,0.016818923440568154,0.008369958010413878,0.055587104670782726,0.04748560106984629,-0.02490910036750949,0.07088158145569556,0.004094414205460089,0.029811104666124074,-0.008583068379879578,-0.06355427913480054,-0.043167138130787465,-0.038974167117302505,-0.05466340114841797,-0.05478874624295382,-0.04402399725488603,0.04053008291675681,0.05792234605549938,0.1279054124678594,0.11362178449989149,0.11442041225731461,0.09772843531172838,0.10241817791219249,0.03526912192543838,0.030784093985685736,0.06630517792470071,-0.009537898001485034,0.036849828649330646,0.052578058799254014,0.02149559812624255,-0.021267973475139295,0.022148661000174187,0.005243698557090044,0.028700676566410052,-0.019380983704284736,0.023514626266391413,-0.014469212726465779,0.03181626681469859,-0.008974525895280642,0.02381669111505488,-0.013215980458660521,0.022889401545592124,0.031152498000861013,0.012729815858271903,-0.013230272980417592,0.03098301267908601,-0.03441709159600828,0.018867816256972852,-0.0418093660558963,0.04400744087419173,-0.022860787824597252,0.013425391164594198,-0.04987406651136247,-0.03938409487889836,0.003280135952937535,-0.06385619058987821,-0.06604166725643962,-0.03135146989561823,0.03682435914500308,-0.05105133578544661,0.02175855582087614,0.03699863464228146,-0.029062985082417565,-0.053400641335837544,0.0073560919835864375,-0.006093103912645325,0.002002819924152952,0.032873448080231134,-0.06684673320860547,0.01821419602779778,-0.007329165348780315,0.012446222021104358,-0.00019713009689990282,-0.005225528159458787,0.03161832330258699
Q17P,-0.03672950403965994,0.01205606981402208,0.046605965814276666,0.09042572994231124,0.08777959447510118,0.20445712959797457,0.17221602372991063,0.08780445592799357,0.0961479881005243,1.0,0.06327080409813324,0.010197526470110957,0.0308424360194411,0.08337885177686728,0.06429156729765353,0.08602275173278855,0.0789513980250342,-0.09243212500427432,-0.13842940358170902,-0.04845984510347356,0.041315668713912415,0.05332188411274191,0.012246198432847865,0.05407789037721351,-0.014705270630977395,0.0844849928156686,0.16296191081054354,-0.04998430553078505,-0.04516251264563371,0.03985381074953765,-0.005417748625036308,0.08482314085821327,0.07089684818584607,-0.059726074945801684,0.22270453721068267,0.19514804965765428,0.13430560502510358,0.16825559891318975,0.18786590081236243,0.1560966982302408,0.05610456215522736,0.03418584667250508,-0.12893603473927756,-0.13318140119726446,-0.10069956658805425,-0.1405643350158539,-0.1196641388503558,0.042610027207814274,0.11241530380579388,0.007046415161607043,0.038546072200715355,-0.07215787328841794,-0.15044451851228446,0.009589223279606438,0.08691445845202836,0.07158048089858411,0.0893720817948686,0.003143765983885502,0.12322685926539673,-0.005027026396400507,0.10647710385883788,-0.030076603281889224,0.09708928036126324,-0.05334690730296225,0.08778936523887089,-0.058553498476998936,-0.0017486262712445967,0.10505834648986986,0.05559532665434944,0.0489378512057248,0.15713447691905505,0.14384712852444775,0.07878527942675036,-0.05089656878042926,0.06460974337866189,0.0520249859814061,0.08928678752155714,0.0840152718518772,0.12833153434672617,0.11641909385438841,0.15001438320174473,0.12232434639815139,0.008292884022248252,0.1583823914809468,0.043209560668456104,-0.047134582677144016,0.1239028728277807,0.11613654097481399,-0.0675306024276323,-0.032844166690134576,-0.07335843373238296,-0.08056210390058227,0.1957571437308746,-0.08311527994730915,-0.058673942569108586,-0.08009580854405805,-0.09733787627588998,-0.02412570796038051,0.015901524154303744
